Astronomical Low Tide,Astronomical High Tide,Avalanche,Blizzard,Coastal Flood,Cold/Wind Chill,Debris Flow,Dense Fog,Dense Smoke,Drought,Dust Devil,Dust Storm,Excessive Heat,Extreme Cold/Wind Chill,Flash Flood,Flood,Frost/Freeze,Funnel Cloud,Freezing Fog,Hail,Heat,Heavy Rain,Heavy Snow,High Surf,High Wind ,Hurricane (Typhoon),Ice Storm,Lake-Effect Snow,Lakeshore Flood,Lightning,Marine Hail,Marine High Wind,Marine Strong Wind,Marine Thunderstorm Wind,Rip Current,Seiche,Sleet,Storm Surge/Tide,Strong Wind,Thunderstorm Wind,Tornado,Tropical Depression,Tropical Storm,Tsunami,Volcanic Ash,Waterspout,Wildfire,Winter Storm,Winter Weather,Unknown
ASTRONOMICAL LOW TIDE ,ASTRONOMICAL HIGH TIDE,AVALANCE,BLIZZARD AND EXTREME WIND CHIL,BEACH EROSION/COASTAL FLOOD ,COLD,LANDSLIDE,DENSE FOG,DENSE SMOKE,ABNORMALLY DRY,DUST DEVEL,BLOWING DUST,EXCESSIVE HEAT,BITTER WIND CHILL TEMPERATURES,BREAKUP FLOODING,FLOOD & HEAVY RAIN,AGRICULTURAL FREEZE,COLD AIR FUNNEL,FREEZING FOG,DEEP HAIL,ABNORMAL WARMTH,ABNORMALLY WET,ACCUMULATED SNOWFALL,HAZARDOUS SURF,DOWNBURST WINDS,HURRICANE EDOUARD,ICE STORM AND SNOW,HEAVY LAKE SNOW,LAKE FLOOD,LIGHTING,MARINE HAIL,HIGH WIND AND SEAS,MARINE HIGH WIND,MARINE THUNDERSTORM WIND,RIP CURRENT,ROGUE WAVE,SLEET & FREEZING RAIN,BLOW-OUT TIDE,GRADIENT WIND,GUSTNADO,COLD AIR TORNADO,TROPICAL DEPRESSION,TROPICAL STORM ALBERTO,TSUNAMI,VOG,WATER SPOUT,BRUSH FIRE,HIGH WINDS/SNOW,BLOWING SNOW & EXTREME WIND CH,APACHE COUNTY
,HIGH TIDES,AVALANCHE,BLIZZARD AND HEAVY SNOW,BEACH FLOOD,COLD/WIND CHILL,LANDSLIDE/URBAN FLOOD,FOG AND COLD TEMPERATURES,SMOKE,BELOW NORMAL PRECIPITATION,DUST DEVIL WATERSPOUT,DUST STORM,EXCESSIVE HEAT/DROUGHT,BITTER WIND CHILL ,DAM BREAK,FLOOD WATCH/,BLACK ICE,COLD AIR FUNNELS,ICE FOG,HAIL 0.75,UNSEASONABLY WARM & WET,DOWNBURST,DRIFTING SNOW,HEAVY SEAS,DRY MICROBURST 50,HURRICANE EMILY,ICE STORM,LAKE EFFECT SNOW,LAKESHORE FLOOD,LIGHTNING  WAUSEON,,HIGH WIND AND HIGH TIDES,MARINE STRONG WIND,MARINE TSTM WIND,RIP CURRENTS HEAVY SURF,SEICHE,SLEET STORM,BLOW-OUT TIDES,GRADIENT WINDS,GUSTNADO AND,LANDSPOUT,,TROPICAL STORM DEAN,,VOLCANIC ASH PLUME,WATERSPOUT FUNNEL CLOUD,BRUSH FIRES,SNOW- HIGH WIND- WIND CHILL,BLOWING SNOW ,DROWNING
,,HEAVY SNOW/BLIZZARD/AVALANCHE,BLIZZARD SUMMARY,COASTAL  FLOODING/EROSION,COLD TEMPERATURE,LANDSLIDES,FOG,,DRIEST MONTH,DUST DEVIL,DUST STORM/HIGH WINDS,EXTREME HEAT,EXCESSIVE COLD,DAM FAILURE,FLOOD,COLD AND FROST,FUNNEL CLOUD,,HAIL 0.88,UNSEASONABLY WARM YEAR,EARLY RAIN,EXCESSIVE SNOW,HEAVY SURF AND WIND,DRY MICROBURST 53 ,HURRICANE ERIN,ICE STORM/FLASH FLOOD,LAKE-EFFECT SNOW,,LIGHTNING AND HEAVY RAIN,,HIGH WIND/SEAS,,,RIP CURRENTS,,SLEET,COASTAL SURGE,NON TSTM WIND,GUSTY THUNDERSTORM WIND,TORNADO DEBRIS,,TROPICAL STORM GORDON,,VOLCANIC ASH,WATERSPOUT TORNADO,FOREST FIRES,SNOW/ICE STORM,BLOWING SNOW- EXTREME WIND CHI,EXCESSIVE
,,,BLIZZARD WEATHER,COASTAL FLOOD,COLD TEMPERATURES,LANDSLUMP,PATCHY DENSE FOG,,DROUGHT,,DUSTSTORM,HEAT WAVE,EXTENDED COLD,FLASH FLOOD - HEAVY RAIN,FLOOD/RAIN/WIND,DAMAGING FREEZE,FUNNEL CLOUD.,,HAIL 075,UNSEASONABLY WARM,EXCESSIVE PRECIPITATION,HEAVY SNOW   FREEZING RAIN,HEAVY SURF COASTAL FLOODING,DRY MICROBURST 58,HURRICANE FELIX,ICE/STRONG WINDS,,,LIGHTNING AND THUNDERSTORM WIN,,,,,RIP CURRENTS/HEAVY SURF,,SLEET/FREEZING RAIN,STORM SURGE,NON-SEVERE WIND DAMAGE,GUSTY THUNDERSTORM WINDS,TORNADO F0,,TROPICAL STORM JERRY,,VOLCANIC ASHFALL,WATERSPOUT,GRASS FIRES,SNOWSTORM,BLOWING SNOW/EXTREME WIND CHIL,HEAVY MIX
,,,BLIZZARD,COASTAL FLOODING,COLD WAVE,MUD SLIDE,,,DROUGHT/EXCESSIVE HEAT,,HIGH WINDS DUST STORM,HEAT WAVES,EXTREME COLD,FLASH FLOOD FROM ICE JAMS,FLOOD/RAIN/WINDS,EARLY FREEZE,FUNNEL CLOUD/HAIL,,HAIL 088,UNSEASONABLY WARM/WET,EXCESSIVE RAIN,HEAVY SNOW & ICE,HEAVY SURF,DRY MICROBURST 61,HURRICANE GORDON,ICESTORM/BLIZZARD,,,LIGHTNING AND WINDS,,,,,,,SLEET/ICE STORM,STORM SURGE/TIDE ,NON-TSTM WIND,LARGE WALL CLOUD,TORNADO F1,,TROPICAL STORM,,VOLCANIC ERUPTION,WATERSPOUT-,RED FLAG FIRE WX,THUNDERSNOW SHOWER,COLD AND SNOW,HIGH
,,,BLIZZARD/FREEZING RAIN,COASTAL FLOODING/EROSION,COLD WEATHER,MUD SLIDES URBAN FLOODING,,,DRY CONDITIONS ,,SAHARAN DUST,HEAT,EXTREME COLD/WIND CHILL ,FLASH FLOOD LANDSLIDES,FLOOD/RIVER FLOOD,EARLY FROST,FUNNEL CLOUDS,,HAIL 1.00,UNUSUAL WARMTH,EXCESSIVE RAINFALL,HEAVY SNOW AND HIGH WINDS,HEAVY SURF/HIGH SURF,DRY MICROBURST 84,HURRICANE OPAL,,,,LIGHTNING DAMAGE,,,,,,,SLEET/RAIN/SNOW,TIDAL FLOOD,,LIGHTNING THUNDERSTORM WINDS,TORNADO F2,,,,,WATERSPOUT-TORNADO,WILD FIRES,THUNDERSNOW,COLD AND WET CONDITIONS,MARINE ACCIDENT
,,,BLIZZARD/HEAVY SNOW,COASTAL STORM,COLD WIND CHILL TEMPERATURES,MUD SLIDES,,,DRY HOT WEATHER,,,HEATBURST,EXTREME WIND CHILL,FLASH FLOOD WINDS,FLOOD/STRONG WIND,FREEZE,FUNNEL,,HAIL 1.75,UNUSUAL/RECORD WARMTH,EXCESSIVE WETNESS,HEAVY SNOW AND ICE STORM,HEAVY SWELLS,DRY MICROBURST WINDS,HURRICANE OPAL/HIGH WINDS ,,,,LIGHTNING FIRE,,,,,,,SLEET/SNOW,TIDAL FLOODING,,LIGHTNING THUNDERSTORM WINDSS,TORNADO F3,,,,,WATERSPOUT/ TORNADO,WILD/FOREST FIRE,WINTER STORM HIGH WINDS,COOL AND WET,MARINE MISHAP
,,,BLIZZARD/HIGH WIND,COASTAL/TIDAL FLOOD,COLD/WIND CHILL,MUD/ROCK SLIDE,,,DRY PATTERN,,,HIGH TEMPERATURE RECORD,EXTREME WIND CHILL/BLOWING SNO,FLASH FLOOD,FLOODING,FREEZING DRIZZLE AND FREEZING,FUNNELS,,HAIL 1.75),UNUSUALLY WARM,EXTREMELY WET,HEAVY SNOW AND ICE,HIGH  SWELLS,DRY MICROBURST,HURRICANE,,,,LIGHTNING INJURY,,,,,,,,,,ROTATING WALL CLOUD,TORNADO,,,,,WATERSPOUT/,WILD/FOREST FIRES,WINTER STORM,COOL SPELL ,"METRO STORM, MAY 26"
,,,BLIZZARD/WINTER STORM,COASTALFLOOD,COLD/WINDS,MUDSLIDE,,,DRY SPELL,,,HOT AND DRY,EXTREME WIND CHILLS,FLASH FLOOD/ FLOOD,FLOODING/HEAVY RAIN,FREEZING DRIZZLE,WALL CLOUD/FUNNEL CLOUD,,HAIL 100,VERY WARM,HEAVY PRECIPATATION,HEAVY SNOW AND STRONG WINDS,HIGH SEAS,DRY MIRCOBURST WINDS,HURRICANE-GENERATED SWELLS,,,,LIGHTNING,,,,,,,,,,SEVERE THUNDERSTORM WINDS,TORNADO/WATERSPOUT,,,,,WATERSPOUT/TORNADO,WILDFIRE,WINTER STORM/HIGH WIND,EARLY SNOW,MILD AND DRY PATTERN
,,,GROUND BLIZZARD,COASTALSTORM,UNSEASONABLE COLD,MUDSLIDE/LANDSLIDE,,,DRY WEATHER,,,HOT PATTERN,EXTREME WINDCHILL TEMPERATURES,FLASH FLOOD/ STREET,FLOODS,FREEZING RAIN AND SLEET,WHIRLWIND,,HAIL 125,WARM DRY CONDITIONS,HEAVY PRECIPITATION,HEAVY SNOW AND,HIGH SURF ADVISORIES,GUSTY LAKE WIND,HURRICANE/TYPHOON,,,,LIGHTNING.,,,,,,,,,,SEVERE THUNDERSTORM,TORNADOES,,,,,WATERSPOUTS,WILDFIRES,WINTER STORM/HIGH WINDS,EARLY SNOWFALL,MILD PATTERN
