"Astronomical Low Tide","Astronomical High Tide","Avalanche","Blizzard","Coastal Flood","Cold/Wind Chill","Debris Flow","Dense Fog","Dense Smoke","Drought","Dust Devil","Dust Storm","Excessive Heat","Extreme Cold/Wind Chill","Flash Flood","Flood","Frost/Freeze","Funnel Cloud","Freezing Fog","Hail","Heat","Heavy Rain","Heavy Snow","High Surf","High Wind","Hurricane (Typhoon)","Ice Storm","Lake-Effect Snow","Lakeshore Flood","Lightning","Marine Hail","Marine High Wind","Marine Strong Wind","Marine Thunderstorm Wind","Rip Current","Seiche","Sleet","Storm Surge/Tide","Strong Wind","Thunderstorm Wind","Tornado","Tropical Depression","Tropical Storm","Tsunami","Volcanic Ash","Waterspout","Wildfire","Winter Storm","Winter Weather","Unknown"
"ASTRONOMICAL LOW TIDE","ASTRONOMICAL HIGH TIDE","AVALANCE","BLIZZARD AND EXTREME WIND CHIL","BEACH EROSION/COASTAL FLOOD ","COLD","LANDSLIDE","DENSE FOG","DENSE SMOKE","ABNORMALLY DRY","DUST DEVEL","BLOWING DUST","EXCESSIVE HEAT","BITTER WIND CHILL TEMPERATURES","BREAKUP FLOODING","FLOOD & HEAVY RAIN","AGRICULTURAL FREEZE","COLD AIR FUNNEL","FREEZING FOG","DEEP HAIL","ABNORMAL WARMTH","ABNORMALLY WET","ACCUMULATED SNOWFALL","HAZARDOUS SURF","DOWNBURST WINDS","HURRICANE EDOUARD","ICE STORM AND SNOW","HEAVY LAKE SNOW","LAKE FLOOD","LIGHTING","MARINE HAIL","HIGH WIND AND SEAS","MARINE HIGH WIND","MARINE THUNDERSTORM WIND","RIP CURRENT","ROGUE WAVE","SLEET & FREEZING RAIN","BLOW-OUT TIDE","GRADIENT WIND","GUSTNADO","COLD AIR TORNADO","TROPICAL DEPRESSION","TROPICAL STORM ALBERTO","TSUNAMI","VOG","WATER SPOUT","BRUSH FIRE","HIGH WINDS/SNOW","BLOWING SNOW & EXTREME WIND CH","APACHE COUNTY"
NA,"HIGH TIDES","AVALANCHE","BLIZZARD AND HEAVY SNOW","BEACH FLOOD","COLD/WIND CHILL","LANDSLIDE/URBAN FLOOD","FOG AND COLD TEMPERATURES","SMOKE","BELOW NORMAL PRECIPITATION","DUST DEVIL WATERSPOUT","DUST STORM","EXCESSIVE HEAT/DROUGHT","BITTER WIND CHILL ","DAM BREAK","FLOOD WATCH/","BLACK ICE","COLD AIR FUNNELS","ICE FOG","HAIL 0.75","UNSEASONABLY WARM & WET","DOWNBURST","DRIFTING SNOW","HEAVY SEAS","DRY MICROBURST 50","HURRICANE EMILY","ICE STORM","LAKE EFFECT SNOW","LAKESHORE FLOOD","LIGHTNING  WAUSEON",NA,"HIGH WIND AND HIGH TIDES","MARINE STRONG WIND","MARINE TSTM WIND","RIP CURRENTS HEAVY SURF","SEICHE","SLEET STORM","BLOW-OUT TIDES","GRADIENT WINDS","GUSTNADO AND","LANDSPOUT",NA,"TROPICAL STORM DEAN",NA,"VOLCANIC ASH PLUME","WATERSPOUT FUNNEL CLOUD","BRUSH FIRES","SNOW- HIGH WIND- WIND CHILL","BLOWING SNOW","DROWNING"
NA,NA,"HEAVY SNOW/BLIZZARD/AVALANCHE","BLIZZARD SUMMARY","COASTAL  FLOODING/EROSION","COLD TEMPERATURE","LANDSLIDES","FOG",NA,"DRIEST MONTH","DUST DEVIL","DUST STORM/HIGH WINDS","EXTREME HEAT","EXCESSIVE COLD","DAM FAILURE","FLOOD","COLD AND FROST","FUNNEL CLOUD",NA,"HAIL 0.88","UNSEASONABLY WARM YEAR","EARLY RAIN","EXCESSIVE SNOW","HEAVY SURF AND WIND","DRY MICROBURST 53 ","HURRICANE ERIN","ICE STORM/FLASH FLOOD","LAKE-EFFECT SNOW",NA,"LIGHTNING AND HEAVY RAIN",NA,"HIGH WIND/SEAS",NA,NA,"RIP CURRENTS",NA,"SLEET","COASTAL SURGE","NON TSTM WIND","GUSTY THUNDERSTORM WIND","TORNADO DEBRIS",NA,"TROPICAL STORM GORDON",NA,"VOLCANIC ASH","WATERSPOUT TORNADO","FOREST FIRES","SNOW/ICE STORM","BLOWING SNOW- EXTREME WIND CHI","EXCESSIVE"
NA,NA,NA,"BLIZZARD WEATHER","COASTAL FLOOD","COLD TEMPERATURES","LANDSLUMP","PATCHY DENSE FOG",NA,"DROUGHT",NA,"DUSTSTORM","HEAT WAVE","EXTENDED COLD","FLASH FLOOD - HEAVY RAIN","FLOOD/RAIN/WIND","DAMAGING FREEZE","FUNNEL CLOUD.",NA,"HAIL 075","UNSEASONABLY WARM","EXCESSIVE PRECIPITATION","HEAVY SNOW   FREEZING RAIN","HEAVY SURF COASTAL FLOODING","DRY MICROBURST 58","HURRICANE FELIX","ICE/STRONG WINDS",NA,NA,"LIGHTNING AND THUNDERSTORM WIN",NA,NA,NA,NA,"RIP CURRENTS/HEAVY SURF",NA,"SLEET/FREEZING RAIN","STORM SURGE","NON-SEVERE WIND DAMAGE","GUSTY THUNDERSTORM WINDS","TORNADO F0",NA,"TROPICAL STORM JERRY",NA,"VOLCANIC ASHFALL","WATERSPOUT","GRASS FIRES","SNOWSTORM","BLOWING SNOW/EXTREME WIND CHIL","HEAVY MIX"
NA,NA,NA,"BLIZZARD","COASTAL FLOODING","COLD WAVE","MUD SLIDE",NA,NA,"DROUGHT/EXCESSIVE HEAT",NA,"HIGH WINDS DUST STORM","HEAT WAVES","EXTREME COLD","FLASH FLOOD FROM ICE JAMS","FLOOD/RAIN/WINDS","EARLY FREEZE","FUNNEL CLOUD/HAIL",NA,"HAIL 088","UNSEASONABLY WARM/WET","EXCESSIVE RAIN","HEAVY SNOW & ICE","HEAVY SURF","DRY MICROBURST 61","HURRICANE GORDON","ICESTORM/BLIZZARD",NA,NA,"LIGHTNING AND WINDS",NA,NA,NA,NA,NA,NA,"SLEET/ICE STORM","STORM SURGE/TIDE","NON-TSTM WIND","LARGE WALL CLOUD","TORNADO F1",NA,"TROPICAL STORM",NA,"VOLCANIC ERUPTION","WATERSPOUT-","RED FLAG FIRE WX","THUNDERSNOW SHOWER","COLD AND SNOW","HIGH"
NA,NA,NA,"BLIZZARD/FREEZING RAIN","COASTAL FLOODING/EROSION","COLD WEATHER","MUD SLIDES URBAN FLOODING",NA,NA,"DRY CONDITIONS ",NA,"SAHARAN DUST","HEAT","EXTREME COLD/WIND CHILL","FLASH FLOOD LANDSLIDES","FLOOD/RIVER FLOOD","EARLY FROST","FUNNEL CLOUDS",NA,"HAIL 1.00","UNUSUAL WARMTH","EXCESSIVE RAINFALL","HEAVY SNOW AND HIGH WINDS","HEAVY SURF/HIGH SURF","DRY MICROBURST 84","HURRICANE OPAL",NA,NA,NA,"LIGHTNING DAMAGE",NA,NA,NA,NA,NA,NA,"SLEET/RAIN/SNOW","TIDAL FLOOD",NA,"LIGHTNING THUNDERSTORM WINDS","TORNADO F2",NA,NA,NA,NA,"WATERSPOUT-TORNADO","WILD FIRES","THUNDERSNOW","COLD AND WET CONDITIONS","MARINE ACCIDENT"
NA,NA,NA,"BLIZZARD/HEAVY SNOW","COASTAL STORM","COLD WIND CHILL TEMPERATURES","MUD SLIDES",NA,NA,"DRY HOT WEATHER",NA,NA,"HEATBURST","EXTREME WIND CHILL","FLASH FLOOD WINDS","FLOOD/STRONG WIND","FREEZE","FUNNEL",NA,"HAIL 1.75","UNUSUAL/RECORD WARMTH","EXCESSIVE WETNESS","HEAVY SNOW AND ICE STORM","HEAVY SWELLS","DRY MICROBURST WINDS","HURRICANE OPAL/HIGH WINDS ",NA,NA,NA,"LIGHTNING FIRE",NA,NA,NA,NA,NA,NA,"SLEET/SNOW","TIDAL FLOODING",NA,"LIGHTNING THUNDERSTORM WINDSS","TORNADO F3",NA,NA,NA,NA,"WATERSPOUT/ TORNADO","WILD/FOREST FIRE","WINTER STORM HIGH WINDS","COOL AND WET","MARINE MISHAP"
NA,NA,NA,"BLIZZARD/HIGH WIND","COASTAL/TIDAL FLOOD","COLD/WIND CHILL","MUD/ROCK SLIDE",NA,NA,"DRY PATTERN",NA,NA,"HIGH TEMPERATURE RECORD","EXTREME WIND CHILL/BLOWING SNO","FLASH FLOOD","FLOODING","FREEZING DRIZZLE AND FREEZING","FUNNELS",NA,"HAIL 1.75)","UNUSUALLY WARM","EXTREMELY WET","HEAVY SNOW AND ICE","HIGH  SWELLS","DRY MICROBURST","HURRICANE",NA,NA,NA,"LIGHTNING INJURY",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ROTATING WALL CLOUD","TORNADO",NA,NA,NA,NA,"WATERSPOUT/","WILD/FOREST FIRES","WINTER STORM","COOL SPELL ","""METRO STORM"
NA,NA,NA,"BLIZZARD/WINTER STORM","COASTALFLOOD","COLD/WINDS","MUDSLIDE",NA,NA,"DRY SPELL",NA,NA,"HOT AND DRY","EXTREME WIND CHILLS","FLASH FLOOD/ FLOOD","FLOODING/HEAVY RAIN","FREEZING DRIZZLE","WALL CLOUD/FUNNEL CLOUD",NA,"HAIL 100","VERY WARM","HEAVY PRECIPATATION","HEAVY SNOW AND STRONG WINDS","HIGH SEAS","DRY MIRCOBURST WINDS","HURRICANE-GENERATED SWELLS",NA,NA,NA,"LIGHTNING",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEVERE THUNDERSTORM WINDS","TORNADO/WATERSPOUT",NA,NA,NA,NA,"WATERSPOUT/TORNADO","WILDFIRE","WINTER STORM/HIGH WIND","EARLY SNOW"," MAY 26"""
NA,NA,NA,"GROUND BLIZZARD","COASTALSTORM","UNSEASONABLE COLD","MUDSLIDE/LANDSLIDE",NA,NA,"DRY WEATHER",NA,NA,"HOT PATTERN","EXTREME WINDCHILL TEMPERATURES","FLASH FLOOD/ STREET","FLOODS","FREEZING RAIN AND SLEET","WHIRLWIND",NA,"HAIL 125","WARM DRY CONDITIONS","HEAVY PRECIPITATION","HEAVY SNOW AND","HIGH SURF ADVISORIES","GUSTY LAKE WIND","HURRICANE/TYPHOON",NA,NA,NA,"LIGHTNING.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"SEVERE THUNDERSTORM","TORNADOES",NA,NA,NA,NA,"WATERSPOUTS","WILDFIRES","WINTER STORM/HIGH WINDS","EARLY SNOWFALL","MILD AND DRY PATTERN"
